IsLa[a],IsLb[A],IsLc[A]
0.25,1.733333,-2.3125
1.025,1.070833,-2.258333
1.858333,0.5041667,-2.166667
2.216667,-0.4083333,-1.591667
2.216667,-1.166667,-1.020833
2.183333,-2.075,-0.35
1.45,-2.295833,0.6
0.8708333,-2.208333,1.408333
0.2375,-1.995833,2.241667
-0.6166667,-1.3,2.329167
-1.570833,-0.7416667,2.270833
-2.3,0.03333333,1.9125
-2.295833,0.9208333,1.220833
-2.254167,1.975,0.6083333
-1.666667,2.408333,-0.4333333
-1.0,2.245833,-1.275
-0.375,2.075,-2.241667
0.5625,1.391667,-2.366667
1.383333,0.8625,-2.183333
2.208333,0.2083333,-1.983333
2.258333,-0.7833333,-1.2875
2.145833,-1.6875,-0.8041667
1.916667,-2.354167,0.04583333
1.183333,-2.291667,1.016667
0.6625,-2.154167,1.941667
-0.1666667,-1.695833,2.379167
-1.058333,-1.075,2.316667
-1.9875,-0.5166667,2.2125
-2.341667,0.4875,1.616667
-2.3,1.345833,1.033333
-2.216667,2.241667,0.2958333
-1.395833,2.379167,-0.8208333
-0.8166667,2.25,-1.616667
-0.09583333,1.970833,-2.316667
0.7958333,1.229167,-2.3625
1.620833,0.6958333,-2.225
2.233333,-0.1041667,-1.85
2.266667,-0.9333333,-1.166667
2.220833,-1.845833,-0.5916667
1.691667,-2.304167,0.3416667
1.025,-2.245833,1.0875
0.4875,-2.125,2.041667
-0.3416667,-1.470833,2.3375
-1.15,-0.9333333,2.275
-2.120833,-0.325,2.129167
-2.3125,0.6291667,1.4
-2.2875,1.55,0.85
-1.979167,2.366667,-0.02083333
-1.2,2.341667,-0.9416667
-0.6166667,2.183333,-1.920833
0.2291667,1.633333,-2.395833
1.029167,1.025,-2.295833
1.983333,0.4458333,-2.133333
2.304167,-0.4958333,-1.483333
2.220833,-1.304167,-0.975
2.120833,-2.204167,-0.2583333
1.341667,-2.3375,0.7541667
0.8125,-2.191667,1.566667
0.15,-1.929167,2.3
-0.7625,-1.229167,2.3625
-1.658333,-0.725,2.270833
-2.304167,0.09583333,1.9
-2.3375,1.054167,1.208333
-2.316667,1.9875,0.5833333
-1.720833,2.416667,-0.4708333
-1.016667,2.329167,-1.333333
-0.375,2.183333,-2.175
0.5708333,1.4375,-2.3875
1.35,0.875,-2.279167
2.125,0.1875,-2.083333
2.270833,-0.7541667,-1.3375
2.25,-1.554167,-0.7833333
1.975,-2.225,0.05
1.2,-2.266667,0.8833333
0.6541667,-2.183333,1.7375
-0.1083333,-1.725,2.25
-0.8458333,-1.1,2.3
-1.808333,-0.5583333,2.241667
-2.266667,0.3583333,1.641667
-2.304167,1.1625,1.05
-2.2375,2.154167,0.35
-1.429167,2.358333,-0.675
-0.8416667,2.2375,-1.5375
-0.1125,1.970833,-2.295833
0.7583333,1.2375,-2.35
1.6875,0.6875,-2.216667
2.275,-0.1583333,-1.791667
2.266667,-1.008333,-1.141667
2.2125,-1.983333,-0.5416667
1.616667,-2.35,0.4625
0.9875,-2.229167,1.270833
0.4041667,-2.095833,2.166667
-0.5125,-1.420833,2.3375
-1.35,-0.9,2.241667
-2.175,-0.2583333,2.120833
-2.291667,0.7958333,1.375
-2.2875,1.695833,0.8541667
-2.0375,2.366667,-0.0625
-1.225,2.345833,-1.066667
-0.6541667,2.2375,-1.95
0.2333333,1.741667,-2.379167
1.1,1.070833,-2.316667
1.95,0.4958333,-2.204167
2.279167,-0.4875,-1.579167
2.2625,-1.3,-1.0
2.1875,-2.120833,-0.2708333
1.4,-2.3,0.7041667
0.8458333,-2.1875,1.445833
0.1791667,-1.975,2.166667
-0.6166667,-1.266667,2.279167
-1.470833,-0.75,2.258333
-2.170833,-0.008333333,1.916667
-2.270833,0.8291667,1.225
-2.295833,1.85,0.6458333
-1.733333,2.35,-0.3333333
-1.045833,2.283333,-1.15
-0.45,2.1375,-2.141667
0.4666667,1.458333,-2.3625
1.3,0.8875,-2.25
2.179167,0.2458333,-2.05
2.295833,-0.7416667,-1.304167
2.2125,-1.6625,-0.7833333
1.908333,-2.3375,0.07916667
1.158333,-2.291667,1.0
0.625,-2.129167,1.929167
-0.1791667,-1.625,2.333333
-1.029167,-1.054167,2.270833
-1.9625,-0.5125,2.170833
-2.304167,0.4583333,1.583333
